City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shimoda,JP,2022-12-30 06:54:51,34.6667,138.95,52.16,58,12,8.14
1,Cherskiy,RU,2022-12-30 06:54:52,68.75,161.3,-44.63,100,87,3.67
2,Tammisaari,FI,2022-12-30 06:54:52,59.9736,23.4339,40.28,99,100,13.91
3,Novodugino,RU,2022-12-30 06:54:53,55.6305,34.2842,32.67,99,100,9.26
4,Comodoro Rivadavia,AR,2022-12-30 06:54:53,-45.8667,-67.5,62.46,34,0,13.8
5,Port Elizabeth,ZA,2022-12-30 06:54:54,-33.918,25.5701,70.11,63,40,7.0
6,Rikitea,PF,2022-12-30 06:54:24,-23.1203,-134.9692,77.56,73,75,4.79
7,Avarua,CK,2022-12-30 06:54:55,-21.2078,-159.775,78.85,83,75,2.3
8,Paamiut,GL,2022-12-30 06:54:55,61.994,-49.6678,10.81,79,7,12.35
9,Nikolskoye,RU,2022-12-30 06:54:56,59.7035,30.7861,30.09,96,100,8.5
10,Punta Arenas,CL,2022-12-30 06:52:25,-53.15,-70.9167,46.51,71,75,17.27
11,East London,ZA,2022-12-30 06:52:14,-33.0153,27.9116,63.54,82,75,5.75
12,Kavaratti,IN,2022-12-30 06:54:57,10.5669,72.642,82.2,68,83,5.14
13,Tuktoyaktuk,CA,2022-12-30 06:54:58,69.4541,-133.0374,-2.2,84,75,6.91
14,Hilo,US,2022-12-30 06:54:58,19.7297,-155.09,71.26,95,0,1.99
15,Upernavik,GL,2022-12-30 06:54:59,72.7868,-56.1549,-10.03,90,100,4.68
16,San Patricio,US,2022-12-30 06:54:59,28.017,-97.5169,64.83,94,100,4.9
17,Margate,GB,2022-12-30 06:55:00,51.3813,1.3862,48.9,85,100,11.99
18,Ushuaia,AR,2022-12-30 06:55:00,-54.8,-68.3,44.26,76,75,19.57
19,Yellowknife,CA,2022-12-30 06:55:00,62.456,-114.3525,7.32,85,100,10.36
20,Mar Del Plata,AR,2022-12-30 06:50:05,-38.0023,-57.5575,67.08,69,99,8.99
21,Pacific Grove,US,2022-12-30 06:55:01,36.6177,-121.9166,54.68,92,100,3.44
22,Khatanga,RU,2022-12-30 06:55:02,71.9667,102.5,-10.68,93,100,15.99
23,Puerto Ayora,EC,2022-12-30 06:55:03,-0.7393,-90.3518,71.55,96,51,4.59
24,San Quintin,MX,2022-12-30 06:55:03,30.4833,-115.95,57.6,80,11,8.25
25,Kapaa,US,2022-12-30 06:54:09,22.0752,-159.319,69.78,89,97,2.46
26,Zhangjiakou,CN,2022-12-30 06:55:04,40.81,114.8794,23.0,26,0,1.99
27,Severo-Kurilsk,RU,2022-12-30 06:55:05,50.6789,156.125,25.02,70,100,19.89
28,Albany,US,2022-12-30 06:55:05,42.6001,-73.9662,42.53,68,100,2.33
29,Saint Anthony,US,2022-12-30 06:55:06,45.0205,-93.218,21.25,84,100,14.97
30,Kropotkin,RU,2022-12-30 06:55:07,45.4375,40.5756,37.81,53,69,8.41
31,Samarai,PG,2022-12-30 06:55:07,-10.6167,150.6667,82.51,74,100,12.8
32,Bengkulu,ID,2022-12-30 06:55:08,-3.8004,102.2655,81.34,77,37,15.17
33,Findlay,US,2022-12-30 06:55:00,41.0442,-83.6499,57.22,79,100,16.69
34,Mataura,NZ,2022-12-30 06:55:09,-46.1927,168.8643,59.41,52,33,5.19
35,Hermanus,ZA,2022-12-30 06:55:10,-34.4187,19.2345,67.8,50,70,18.61
36,Bambous Virieux,MU,2022-12-30 06:55:09,-20.3428,57.7575,82.65,61,20,5.75
37,Upington,ZA,2022-12-30 06:55:10,-28.4478,21.2561,73.78,43,0,10.36
38,Strezhevoy,RU,2022-12-30 06:55:11,60.7333,77.5889,-13.56,98,86,5.41
39,Tocopilla,CL,2022-12-30 06:51:54,-22.092,-70.1979,66.25,69,54,2.35
40,La Rochelle,FR,2022-12-30 06:55:12,46.1667,-1.15,50.07,100,75,18.41
41,Nicoya,CR,2022-12-30 06:55:13,10.1483,-85.452,72.01,88,6,3.94
42,Longyearbyen,SJ,2022-12-30 06:55:13,78.2186,15.6401,22.84,68,75,10.36
43,Saint George,US,2022-12-30 06:51:36,37.1041,-113.5841,38.25,88,100,4.61
44,Mollendo,PE,2022-12-30 06:56:14,-17.0231,-72.0147,68.85,86,100,7.72
45,Thinadhoo,MV,2022-12-30 06:56:15,0.5333,72.9333,80.76,76,26,7.92
46,Coahuayana,MX,2022-12-30 06:56:15,18.7333,-103.6833,68.85,74,100,4.21
47,Hobart,AU,2022-12-30 06:56:16,-42.8794,147.3294,68.25,66,75,17.27
48,Esperance,AU,2022-12-30 06:56:16,-33.8667,121.9,79.29,51,0,21.16
49,Moyale,KE,2022-12-30 06:56:17,3.5167,39.0584,77.16,32,41,21.32
50,Balabac,PH,2022-12-30 06:56:18,7.9868,117.0645,81.95,75,99,11.48
51,Chuy,UY,2022-12-30 06:56:18,-33.6971,-53.4616,56.71,83,0,5.57
52,College,US,2022-12-30 06:53:04,64.8569,-147.8028,-1.91,85,26,3.13
53,Soe,ID,2022-12-30 06:56:19,-9.8607,124.284,75.7,68,100,13.04
54,Havoysund,NO,2022-12-30 06:56:19,70.9963,24.6622,26.83,71,100,32.1
55,Fortuna,US,2022-12-30 06:56:20,40.5982,-124.1573,56.35,93,100,8.01
56,Port Macquarie,AU,2022-12-30 06:56:20,-31.4333,152.9167,73.89,84,19,8.01
57,Jaciara,BR,2022-12-30 06:56:21,-15.9653,-54.9683,69.85,97,100,0.65
58,Alta Floresta,BR,2022-12-30 06:56:21,-9.8756,-56.0861,70.57,100,100,2.42
59,Cidreira,BR,2022-12-30 06:56:22,-30.1811,-50.2056,65.71,76,0,8.95
60,Busselton,AU,2022-12-30 06:56:22,-33.65,115.3333,83.32,41,0,15.48
61,Victoria,HK,2022-12-30 06:56:23,22.2855,114.1577,64.2,62,5,15.01
62,Faanui,PF,2022-12-30 06:56:23,-16.4833,-151.75,80.78,76,99,15.77
63,New Norfolk,AU,2022-12-30 06:56:24,-42.7826,147.0587,67.91,54,94,1.99
64,Flinders,AU,2022-12-30 06:56:24,-34.5833,150.8552,73.18,88,42,4.0
65,Clyde River,CA,2022-12-30 06:56:25,70.4692,-68.5914,-23.57,76,0,4.61
66,Lahaina,US,2022-12-30 06:54:27,20.8783,-156.6825,75.81,78,22,5.95
67,Nanortalik,GL,2022-12-30 06:56:26,60.1432,-45.2371,16.75,74,2,8.81
68,Oxford,GB,2022-12-30 06:56:20,51.7522,-1.256,49.21,87,75,23.02
69,Dikson,RU,2022-12-30 06:56:26,73.5069,80.5464,-14.69,97,100,20.0
70,Mmabatho,ZA,2022-12-30 06:56:27,-25.85,25.6333,67.96,73,100,8.05
71,Bluff,NZ,2022-12-30 06:56:28,-46.6,168.3333,55.06,62,83,11.14
72,Zambezi,ZM,2022-12-30 06:56:28,-13.5432,23.1047,72.48,78,87,4.43
73,Port Alfred,ZA,2022-12-30 06:56:28,-33.5906,26.891,69.19,67,40,1.01
74,Nalut,LY,2022-12-30 06:56:30,30.3333,10.85,49.03,45,0,6.89
75,Najran,SA,2022-12-30 06:55:05,17.4924,44.1277,54.25,41,100,4.27
76,Shache,CN,2022-12-30 06:56:31,38.4167,77.2406,27.72,32,100,2.3
77,Vestmanna,FO,2022-12-30 06:56:31,62.1564,-7.1664,31.12,64,75,13.8
78,The Valley,AI,2022-12-30 06:56:32,18.217,-63.0578,78.1,77,14,22.82
79,Tasiilaq,GL,2022-12-30 06:56:32,65.6145,-37.6368,-6.21,71,9,5.37
80,Sao Joao Da Barra,BR,2022-12-30 06:56:33,-21.6403,-41.0511,72.59,95,100,6.44
81,Lagoa,PT,2022-12-30 06:56:33,39.05,-27.9833,60.44,84,100,27.38
82,Cape Town,ZA,2022-12-30 06:54:05,-33.9258,18.4232,70.12,54,0,11.01
83,Damghan,IR,2022-12-30 06:56:34,36.1683,54.348,42.08,41,0,1.68
84,Fare,PF,2022-12-30 06:56:34,-16.7,-151.0167,80.82,76,12,15.5
85,Udachnyy,RU,2022-12-30 06:56:35,66.4167,112.4,-13.59,94,100,21.7
86,Hervey Bay,AU,2022-12-30 06:56:35,-25.2986,152.8535,75.99,84,99,19.04
87,Thompson,CA,2022-12-30 06:56:36,55.7435,-97.8558,5.16,85,100,5.75
88,Kodiak,US,2022-12-30 06:56:36,57.79,-152.4072,36.91,100,100,5.75
