City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-12-18 02:31:24,3.0707,172.7902,82.13,76,78,11.41
1,Ushuaia,AR,2022-12-18 02:31:24,-54.8,-68.3,53.22,54,75,10.36
2,Bluff,NZ,2022-12-18 02:31:26,-46.6,168.3333,56.8,72,98,16.51
3,Cherskiy,RU,2022-12-18 02:31:26,68.75,161.3,-0.02,92,100,4.83
4,Takhtamygda,RU,2022-12-18 02:31:27,54.1,123.5667,-14.71,83,100,3.36
5,Jamestown,US,2022-12-18 02:31:27,42.097,-79.2353,29.79,57,100,10.36
6,Hermanus,ZA,2022-12-18 02:31:28,-34.4187,19.2345,65.8,88,76,9.31
7,Rikitea,PF,2022-12-18 02:31:29,-23.1203,-134.9692,76.98,80,100,14.2
8,New Norfolk,AU,2022-12-18 02:31:29,-42.7826,147.0587,66.9,48,0,4.0
9,Chernyshevskiy,RU,2022-12-18 02:31:30,63.0128,112.4714,-45.08,100,92,2.64
10,Altus,US,2022-12-18 02:31:22,34.6381,-99.334,36.91,56,0,5.75
11,Port Elizabeth,ZA,2022-12-18 02:31:31,-33.918,25.5701,66.49,87,100,4.61
12,Port Hardy,CA,2022-12-18 02:30:50,50.6996,-127.4199,35.78,87,75,6.91
13,Dakar,SN,2022-12-18 02:27:16,14.6937,-17.4441,72.48,75,88,13.2
14,Ostend,BE,2022-12-18 02:31:33,51.2234,2.9119,23.34,58,4,12.33
15,Nanakuli,US,2022-12-18 02:31:34,21.3906,-158.1547,80.55,59,0,8.05
16,Yellowknife,CA,2022-12-18 02:30:13,62.456,-114.3525,-19.44,76,40,6.91
17,Kajaani,FI,2022-12-18 02:30:14,64.2273,27.7285,23.05,93,100,11.5
18,Nianzishan,CN,2022-12-18 02:31:35,47.5167,122.8833,-2.94,57,86,8.48
19,Punta Arenas,CL,2022-12-18 02:28:54,-53.15,-70.9167,50.11,62,75,18.41
20,Hobart,AU,2022-12-18 02:30:17,-42.8794,147.3294,67.26,64,20,12.66
21,Qaanaaq,GL,2022-12-18 02:31:37,77.484,-69.3632,8.69,66,100,10.18
22,Galle,LK,2022-12-18 02:30:41,6.0367,80.217,77.27,82,100,9.15
23,Mezen,RU,2022-12-18 02:31:37,65.8522,44.24,9.19,96,89,9.28
24,Castro,BR,2022-12-18 02:31:38,-24.7911,-50.0119,58.14,95,94,10.78
25,Ponta Do Sol,PT,2022-12-18 02:31:39,32.6667,-17.1,68.0,76,95,9.4
26,Rabo De Peixe,PT,2022-12-18 02:31:40,37.8,-25.5833,65.28,100,40,24.16
27,Atuona,PF,2022-12-18 02:31:41,-9.8,-139.0333,78.42,80,41,20.22
