City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Atuona,HT,77.22,light rain,-9.8,-139.0333,Villa Enata
12,Itarema,HT,84.24,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
15,Mount Isa,HT,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
19,Omaruru,HT,87.15,light rain,-21.4333,15.9333,"Kashana, Omaruru, Namibia"
20,Bambous Virieux,HT,84.45,few clouds,-20.3428,57.7575,Casa Tia Villa
21,Vaini,HT,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
29,Tiarei,HT,77.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
32,Georgetown,HT,84.13,few clouds,5.4112,100.3354,Cititel Penang
35,Buala,HT,80.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
39,Camapua,HT,78.58,broken clouds,-19.5314,-54.0439,Comercial Estrela
42,Denpasar,HT,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
43,Puri,HT,82.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
47,Monrovia,HT,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
48,Belmonte,HT,81.79,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
49,Cape Town,HT,80.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
51,Meulaboh,HT,78.62,overcast clouds,4.1363,96.1285,Kost Pria
54,Port-Gentil,HT,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
57,Hermanus,HT,77.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
62,Kununurra,HT,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
66,Rikitea,HT,76.66,overcast clouds,-23.1203,-134.9692,People ThankYou
69,Butaritari,HT,81.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Mahebourg,HT,84.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Cairns,HT,80.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
79,Avarua,HT,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
88,Kualakapuas,HT,76.91,overcast clouds,-3.0091,114.3876,Guest House Izonk
95,Jambusar,HT,82.44,clear sky,22.05,72.8,Hotel Imeprial
96,Sinnamary,HT,78.04,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
107,Carnarvon,HT,77.04,clear sky,-24.8667,113.6333,Hospitality Carnarvon
109,Salalah,HT,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
110,Luderitz,HT,82.27,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
111,Sao Joao Da Barra,HT,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
115,Barao De Melgaco,HT,81.37,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
117,Port Blair,HT,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
119,Arraial Do Cabo,HT,75.16,mist,-22.9661,-42.0278,Pousada Porto Praia
126,Bathsheba,HT,77.61,light rain,13.2167,-59.5167,Atlantis Hotel
133,Hithadhoo,HT,80.73,few clouds,-0.6,73.0833,Scoop Guest House
138,Sri Aman,HT,78.85,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
140,Rocha,HT,75.65,clear sky,-34.4833,-54.3333,Hotel Arrarte
142,Bengkulu,HT,76.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
143,Calvinia,HT,82.49,scattered clouds,-31.4707,19.776,Die Lemoenhuis
153,Paragominas,HT,78.06,overcast clouds,-2.9667,-47.4833,INOVA
159,Isangel,HT,80.76,broken clouds,-19.55,169.2667,Tanna Lodge
160,Yulara,HT,83.89,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
162,Praia,HT,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
165,Saint-Joseph,HT,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
169,Labuhan,HT,78.39,overcast clouds,-6.8844,112.2051,DoubleFAG
178,Banjar,HT,77.85,moderate rain,-8.19,114.9675,The Hamsa Resort
179,Majene,HT,78.48,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
183,Nabire,HT,76.77,broken clouds,-3.3667,135.4833,Hotel Nusantara I
185,Alibag,HT,87.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
188,Cayenne,HT,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
189,Katherine,HT,77.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
193,Faanui,HT,80.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Dingle,HT,76.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
198,Saint-Philippe,HT,83.79,light rain,-21.3585,55.7679,Le four à pain
199,Tautira,HT,79.81,scattered clouds,-17.7333,-149.15,Pension Oaoa
207,Guarapari,HT,81.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
208,Garanhuns,HT,75.27,overcast clouds,-8.8903,-36.4928,Permanente Hotel
212,Mackay,HT,78.67,broken clouds,-21.15,149.2,International Lodge Motel
223,Bambanglipuro,HT,78.58,overcast clouds,-7.95,110.2833,Puri Brata
225,Kavieng,HT,80.8,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
227,Caravelas,HT,82.96,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
231,Buchanan,HT,86.47,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
235,Puerto Colombia,HT,77.09,clear sky,10.9878,-74.9547,Hotel El Emigrante
243,Morros,HT,78.98,broken clouds,-9.4467,-46.3003,
246,Santiago Del Estero,HT,83.3,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
247,Dzaoudzi,HT,80.49,light rain,-12.7887,45.2699,Le Rocher
249,Bima,HT,76.35,overcast clouds,-8.4667,118.7167,Lambitu Hotel
254,La Macarena,HT,75.24,broken clouds,2.1837,-73.7849,Casa Hotel Real
256,Abu Dhabi,HT,75.31,clear sky,24.4667,54.3667,Beach Rotana
259,Mana,HT,77.92,scattered clouds,5.6592,-53.7767,LE SAMANA
278,Presidencia Roque Saenz Pena,HT,86.2,clear sky,-26.7852,-60.4388,Hotel Gualok
280,Maragogi,HT,81.45,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
281,Ihosy,HT,83.59,scattered clouds,-22.4,46.1167,Tamana hôtel
284,Keffi,HT,89.83,broken clouds,8.8486,7.8736,Sawalino Hotel and Suites Keffi.
288,Moyale,HT,85.57,few clouds,3.5167,39.0584,La Tahzan Guest House
289,Port Hedland,HT,89.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
292,Amahai,HT,80.46,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
293,Ipira,HT,78.78,scattered clouds,-12.1583,-39.7372,Hotel Phyccus
296,Lorengau,HT,78.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
297,Kattivakkam,HT,84.29,clear sky,13.2167,80.3167,Euronova Freezer
298,Praya,HT,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
299,Bealanana,HT,78.13,light rain,-14.55,48.7333,Le Delta
300,Bonthe,HT,88.63,broken clouds,7.5264,-12.505,Bonthe Holiday Village
302,Dennery,HT,78.89,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
